Date,Confirmed,Total Confirmed,Confirmed Deaths,Total Deaths,Male,Female,Unknown,Month
2020/11/24 00:00:00+00,226,70930,6,2028,33242.0,37431.0,31.0,November
2020/11/25 00:00:00+00,269,71187,6,2033,33350.0,37535.0,33.0,November
2020/11/26 00:00:00+00,335,71494,3,2036,33463.0,37663.0,33.0,November
2020/11/27 00:00:00+00,206,71699,7,2043,33625.0,37833.0,35.0,November
2020/11/28 00:00:00+00,243,71942,7,2050,33728.0,37940.0,31.0,November
2020/11/29 00:00:00+00,299,72241,2,2052,33865.0,38044.0,33.0,November
2020/11/30 00:00:00+00,306,72544,1,2053,34021.0,38184.0,33.0,November
2020/12/01 00:00:00+00,269,72798,18,2069,34167.0,38328.0,34.0,December
2020/12/02 00:00:00+00,270,73066,5,2074,34298.0,38461.0,37.0,December
2020/12/03 00:00:00+00,183,73228,6,2080,34432.0,38582.0,31.0,December
2020/12/04 00:00:00+00,265,73491,6,2086,34512.0,38683.0,31.0,December
2020/12/05 00:00:00+00,456,73948,13,2099,34646.0,38815.0,31.0,December
2020/12/06 00:00:00+00,301,74246,0,2099,34865.0,39047.0,33.0,December
2020/12/07 00:00:00+00,242,74468,0,2099,34986.0,39207.0,33.0,December
2020/12/08 00:00:00+00,215,74682,1,2097,35099.0,39335.0,33.0,December
2020/12/09 00:00:00+00,227,74900,5,2102,35189.0,39449.0,34.0,December
